Timestamp,How would you rate the course?,Did you learn many things in this course?,Rate the instructor's knowledge in this field,Contribution to learning [Level of skill/knowledge at start of course],Contribution to learning [Level of skill/knowledge at end of course],Contribution to learning [Level of skill/knowledge required to complete the course],Contribution to learning [Contribution of course to your skill/knowledge],Skill and responsiveness of the instructor [Instructor was an effective lecturer/demonstrator],Skill and responsiveness of the instructor [Presentations were clear and organized],Skill and responsiveness of the instructor [Instructor stimulated student interest],Skill and responsiveness of the instructor [Instructor effectively used time during class periods],Skill and responsiveness of the instructor [Instructor was available and helpful],Skill and responsiveness of the instructor [Grading was prompt and had useful feedback],Course content [Learning objectives were clear],Course content [Course content was organized and well planned],Course content [Course workload was appropriate],Course content [Course organized to allow all students to participate fully],What aspects of this course were most useful or valuable?,How would you improve this course (Wishlist)? ,Any final message to me?
2021/02/09 7:52:50 PM GMT+8,5,4,5,Satisfactory,Very good,Very good,Very good,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Learning when or when not to use machine learning. ,#NAME?,"Even though this term has been hell, it was fun. Machlrn was a learning curve since I knew nothing about machine learning and python, but it was worth learning. It became the subject that was kind of the lightest load of the term. I hope that we talk and play again sometime! Thank you sir for this term. "
2021/02/09 7:52:58 PM GMT+8,5,5,5,Satisfactory,Very good,Very good,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,What I found most useful is the concept of gradient descent. It made my perspective of AI clearer since its the foundation  of machine learning,More interactive activities like kahoot.,"Sir you are very kind. Many challenges have come to our lives since the pandemic because of your kindness, sir, I was motivated to finish tasks and assignment in your course even though I was having a hard time to code in python."
2021/02/09 7:55:11 PM GMT+8,4,4,5,Satisfactory,Very good,Very good,Very good,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Learning the different processes and types of machine learning and how to implement and apply them to real world problems.,Maybe a more clear/lenient grading scheme because I felt that sometimes deductions were very high.,Thank you very much for teaching our course!
2021/02/09 7:59:30 PM GMT+8,4,4,5,Poor,Fair,Very good,Satisfactory,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,The collab notebooks served as very useful learning and study material. I also found the exercises to encourage students to self study and try to understand the lessons better.,"As this subject can be fairly unfamiliar for students and can have a slow learning curve, I wish that the grading scheme would be more lenient.",Thank you for teaching our class :D
2021/02/09 8:00:23 PM GMT+8,5,5,5,Excellent,Excellent,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The most useful would be the notebooks given in class. It can be a good reference in creating a pipeline for future ML-related projects.,Face-to-face classes could've been better :(,"I really appreciate your patience in teaching us and being approachable and responsive to our questions. Thank you for this fruitful term, sir! "
2021/02/09 8:02:54 PM GMT+8,4,4,4,Poor,Satisfactory,Satisfactory,Satisfactory,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,"The most useful lesson that I have learned in this course is the high level understanding of the ml techniques, with how the technologies is progressing, it is important to learn the different trends. I was also able to learn the algorithm behind different ml techniques which made machine learning seem less intimidating.","At the beginning of the course, I had a hard time applying the concept to the actual code and   I was lost on how to begin coding the activity. I wish that there is a bridge on how we will be able to connect the concept to be able to code it. The KNN seatwork was a good exercise for me to practice implementing the lesson in a very easy use case. This helped me absorbed the lesson better. I wish that there would be more of that.",Thank you for teaching us sir. I think that machine learning is a difficult concept and you tried your best to teach us. Thank you for also giving constant feedback that will help us improve ourselves. I also want to thank you for being approachable type of teacher that do not make us fear to approach or talk to you. I feel like that really lessen the stress of the subject and it also help us be more confident in ourselves. I hope the best for your future endeavors! 
2021/02/09 8:07:39 PM GMT+8,4,5,5,Fair,Satisfactory,Satisfactory,Very good,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,The lectures with coding examples helped a lot with seeing how to actually apply the techniques. It was also a good experience to be forced to try and implement the techniques without help from libraries to understand how they work and appreciate them even more. ,A rundown or example of how a good ML notebook/project looks like (in contrast to the many notebooks available online) so that we would be more acquainted with how the standards should be in terms of good quality projects. ,"Thank you for widening my knowledge on the many techniques in machine learning, Sir! Advanced happy Valentine's day as well!"
2021/02/09 8:09:37 PM GMT+8,3,4,5,Fair,Satisfactory,Satisfactory,Satisfactory,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"I think that the final project consultations helped me the most since I joined the class in hopes of working on something to use in my thesis, which I did get to do.","More ungraded activities like kaggle and solving - small enough to keep students engaged but big enough to enforce the concept, better if every meeting to have this

Preface to lessons using kaggle or a mini quiz to gauge how much the students actually know or don't know so that the lessons can be better tailored to their needs

Rather than asking us to code using functions, when we don't know how to implement yet, i think that learning how to manually apply it is good :D like what we did for knn, cause it's clearer how to follow","Hello sir! I wanna start by saying thank you for this term and sorry the class was kinda dead and we had a hard time understanding things <:D I think that we learned a lot and the people who needed this class for thesis got what they came for cause we did, and I'm grateful for that, however, it was difficult to follow a lot of the lessons. I really think that if there was more class engagement, the lessons would be easier to get? Cause like you know, how other students understand the lessons is probably also how I'll understand it. Thank you so much btw for helping me throughout the term and listening to suggestions! I really hope that the next classes you teach will go better. Thank you again sir! Good luck :DDD"
2021/02/09 8:20:06 PM GMT+8,4,5,5,Satisfactory,Excellent,Very good,Excellent,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,The sample notebooks were very helpful especially for those that have not been exposed to python.,"Maybe give a brief overview of the difference of using ML applications (ex: RapidMiner, Weka) vs using jupyter notebooks.","Hi sir, I really enjoyed the course and learning about machine learning. Although, I did find it difficult due to the lack of python experience, but you actually gave us a crash course which made it easier for us to continue the course. Thanks for that because that really helped me in the succeeding lessons. Thanks for everything sir!! (PS. Sorry I wasn't able to attend the final class, my partner and I were dying from CMPILER cause the deadline was on the same night.)."
2021/02/09 8:52:18 PM GMT+8,4,5,5,Poor,Satisfactory,Satisfactory,Excellent,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,The notebooks that were given to us,Louder mic and earlier timeslot hehe,This course was one of the brighter spots/better parts of this otherwise hellish term 
2021/02/09 10:29:46 PM GMT+8,4,5,5,Fair,Very good,Very good,Excellent,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,"For me, it was learning the different aspects of machine learning, that it is not a broad topic but rather a complex topic that entails various solutions to various problems ranging from simple problems to complex and even unsolvable problems.",More Kahoot like a summary activity for the discussions :),"Thank you sir for the term, you were very understanding of our situation knowing that we were currently taking thesis and Cmpiler, and you adjusted the workload to our situation, I really appreciate that. I also appreciate how your notebooks were all prepared and organized so we'd only need to go through them to understand how a certain machine learning algorithm, model, technique is implemented and how it works. You did not make us have a difficult time just enough to make us learn, and you were very generous in the grading. Thank you sir for the wonderful term. Advanced Happy Valentine's Day as well. 
P.S. I won first place in a Kahoot game before, hihi, plis gib 5 in class participation so I can reach 2.5. hihi <3"
2021/02/09 10:49:31 PM GMT+8,5,5,5,Excellent,Excellent,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"During the projects, standard techniques used in the field are taught as supplement and response to the the students’ performance",Quick rundown of more advanced techniques and pipelines.,"Thank you, sir!"
2021/02/09 11:12:02 PM GMT+8,5,5,5,Poor,Excellent,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I feel like discussing the concepts first before asking us to code them were very useful in understanding how to implement the machine learning algorithm properly.,"not sure, but i guess more machine learning concepts???","Thank you Sir for being very understanding and open to feedback. I still remember at the start of this course when most of us didn't know much of what's happening in class. We had a hard time understanding the python notebooks at first, but you listened to our feedback and did your best in trying to explain what's happening in the code. I still think that machine learning can be very confusing at times, but I am happy that I learned a lot from this course. "
2021/02/10 4:15:10 AM GMT+8,4,5,5,Satisfactory,Very good,Very good,Very good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Using what we learned and applying it in real life problems.,More applications. Showcase more possible solutions.,"My last machine learning prof, Thank God it was you <3 "
2021/02/10 6:44:16 AM GMT+8,4,5,5,Fair,Very good,Very good,Very good,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Most probably learning how to do linear regression and KNN from scratch since you would understand better how those ML techniques actually get their results.,Exploring more libraries and also having more Kaggle exercises to really practice the concepts.,"TBH sir, I feel like you could be more authoritative in class. Like you could force us to speak up by making us recite just to make the class more interactive. Also, some of the times, we do not know what questions to ask which is why we don't ask them immediately so apologies for that. Overall, I found the class very informative and a good foundation to understanding more about Data Science."
2021/02/10 7:50:13 PM GMT+8,4,4,5,Very good,Satisfactory,Very good,Very good,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Helped with my basic understanding of ML that can be used for my thesis (imaging processing & CNN),Better organization of the slides in terms of presenting some concepts within the slides.,Thanks sir for being our prof. I wish you the best in your job and in genshin (haha). 
2021/02/11 3:40:35 PM GMT+8,4,5,5,Poor,Satisfactory,Satisfactory,Satisfactory,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Definitely being able to put modeling techniques into practice,I would say the beginning of the course was slightly confusing so I think the pacing of the course could start slow and gradually hasten over the term,Thank you for the term sir! I know it must be hard teaching in an online setting but we know you still tried your best to teach us!
2021/02/11 9:00:27 PM GMT+8,4,4,5,Poor,Satisfactory,Satisfactory,Satisfactory,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,"I tried learning ML on my own before taking this course but having someone to explain the material, the dos, don'ts and whys makes a big difference.",Definitely would've been better if it was face-to-face,Thank you for this sir ;~;
